ORDER_ID,CUSTOMER_ID,ORDER_DATE,ORDER_STATUS,TOTAL_AMOUNT
1,23021,15-03-2023,DELIVERED,85.19
2,14230,26-09-2025,RETURNED,678.9
3,81785,22-08-2025,DELIVERED,1564.8
4,71411,15-11-2025,SHIPPED,1643.47
5,87101,30-05-2024,PROCESSING,6034.58
6,14649,22-01-2025,CANCELLED,3396.82
7,39665,26-03-2025,DELIVERED,4160.09
8,74243,16-04-2024,DELIVERED,5.51
9,74322,15-08-2024,RETURNED,436.18
10,47305,18-03-2025,DELIVERED,3800.34
11,78876,16-09-2025,RETURNED,28.5
12,59925,24-11-2025,PROCESSING,899.44
13,42378,29-11-2024,PROCESSING,254.04
14,20118,13-05-2023,SHIPPED,823.87
15,50598,20-08-2023,DELIVERED,898.6
16,89043,31-05-2023,SHIPPED,311.01
17,42919,05-09-2023,SHIPPED,1191.37
18,20170,18-03-2025,PENDING,140.5
19,7518,18-01-2023,RETURNED,2174.39
20,72532,06-01-2025,SHIPPED,1854.29
21,99674,24-11-2025,PROCESSING,1597.49
22,99083,23-04-2023,PROCESSING,1104.31
23,54562,16-12-2025,DELIVERED,4367.63
24,43216,06-11-2025,DELIVERED,6413.5
25,97622,27-08-2023,DELIVERED,1765.04
26,49745,02-08-2023,PROCESSING,3441.53
27,48699,15-07-2024,DELIVERED,1092.07
28,15217,14-02-2024,SHIPPED,3546.92
29,2743,25-07-2024,SHIPPED,1209.71
30,39462,10-05-2024,PROCESSING,3084.27
31,92068,19-07-2025,CANCELLED,201.48
32,14208,16-07-2024,SHIPPED,51.67
33,76317,07-08-2024,DELIVERED,2577.19
34,22258,24-04-2024,SHIPPED,2076.33
35,95390,02-08-2025,DELIVERED,755.32
36,87813,18-10-2023,PROCESSING,1660.01
37,72628,19-01-2024,DELIVERED,4841.01
38,94071,29-03-2023,DELIVERED,915.04
39,34976,10-01-2025,DELIVERED,476.01
40,57064,19-04-2025,DELIVERED,1788.48
41,7409,01-05-2025,PENDING,3317.23
42,3848,04-03-2025,PENDING,2233.25
43,65743,05-09-2024,CANCELLED,2290.86
44,30971,05-06-2024,DELIVERED,352.04
45,65340,20-05-2025,PROCESSING,931.74
46,44417,13-02-2025,RETURNED,3161.51
47,6176,22-02-2023,PROCESSING,2452.48
48,82785,25-01-2025,PROCESSING,1144.39
49,42357,22-09-2023,DELIVERED,801.17
50,7524,30-10-2025,PROCESSING,547.96
51,53625,30-10-2025,RETURNED,3100.77
52,39007,24-06-2023,PROCESSING,223.98
53,10957,20-12-2023,PROCESSING,1041.87
54,83128,30-08-2025,DELIVERED,378.24
55,86929,25-06-2025,CANCELLED,27.2
56,26683,05-12-2024,DELIVERED,823.11
57,16426,21-11-2023,DELIVERED,108.12
58,95782,02-08-2023,DELIVERED,427.86
59,16560,11-02-2024,SHIPPED,1083.96
60,37678,03-10-2024,CANCELLED,39.36
61,36023,27-11-2025,DELIVERED,257.83
62,6741,04-06-2024,PROCESSING,209.13
63,73863,07-10-2024,SHIPPED,537.32
64,34636,01-05-2025,PENDING,788.85
65,43951,01-06-2024,PENDING,354.57
66,13415,26-10-2024,RETURNED,471.42
67,82062,18-07-2023,DELIVERED,568.38
68,17376,05-09-2023,DELIVERED,838.01
69,59855,12-02-2024,PENDING,1781.43
70,87274,06-02-2023,CANCELLED,85.64
