PAYMENT_ID,ORDER_ID,PAYMENT_DATE,PAYMENT_MODE,PAYMENT_STATUS,AMOUNT
1,1,2023-03-15,CARD,SUCCESS,85.19
2,2,2025-09-28,CARD,SUCCESS,678.90
3,2,2025-10-13,CARD,REFUNDED,678.90
4,3,2025-08-22,CARD,SUCCESS,1564.80
5,4,2025-11-17,CARD,SUCCESS,1643.47
6,5,2024-05-30,ACH,PENDING,6034.58
7,6,2025-01-23,GOOGLE_PAY,REFUNDED,3396.82
8,7,2025-03-28,CARD,SUCCESS,4160.09
9,8,2024-04-18,CARD,SUCCESS,5.51
10,9,2024-08-16,CARD,REFUNDED,436.18
11,10,2025-03-19,CARD,SUCCESS,3800.34
12,11,2025-09-16,CARD,SUCCESS,28.50
13,11,2025-10-02,CARD,REFUNDED,28.50
14,12,2025-11-26,CARD,SUCCESS,899.44
15,13,2024-11-29,APPLE_PAY,SUCCESS,254.04
16,14,2023-05-14,PAYPAL,SUCCESS,823.87
17,15,2023-08-21,CARD,SUCCESS,898.60
18,16,2023-05-31,CARD,SUCCESS,311.01
19,17,2023-09-07,CARD,SUCCESS,1191.37
20,18,2025-03-20,CARD,PENDING,140.50
21,19,2023-01-19,CARD,REFUNDED,2174.39
22,19,2023-02-09,CARD,REFUNDED,2174.39
23,20,2025-01-06,CARD,SUCCESS,1854.29
24,21,2025-11-24,ACH,SUCCESS,1597.49
25,22,2023-04-23,ACH,SUCCESS,1104.31
26,23,2025-12-18,CARD,SUCCESS,4367.63
27,24,2025-11-08,CARD,SUCCESS,6413.50
28,25,2023-08-28,CARD,SUCCESS,1765.04
29,26,2023-08-04,CARD,FAILED,3441.53
30,27,2024-07-15,CARD,SUCCESS,1092.07
31,28,2024-02-15,CARD,SUCCESS,3546.92
32,29,2024-07-27,CARD,SUCCESS,1209.71
33,30,2024-05-11,CARD,SUCCESS,3084.27
34,31,2025-07-19,CARD,REFUNDED,201.48
35,32,2024-07-17,CARD,SUCCESS,51.67
36,33,2024-08-09,CARD,SUCCESS,2577.19
37,34,2024-04-26,CARD,SUCCESS,2076.33
38,35,2025-08-04,GOOGLE_PAY,SUCCESS,755.32
39,36,2023-10-20,CARD,SUCCESS,1660.01
40,37,2024-01-20,CARD,SUCCESS,4841.01
41,38,2023-03-31,APPLE_PAY,SUCCESS,915.04
42,39,2025-01-11,CARD,SUCCESS,476.01
43,40,2025-04-20,CARD,FAILED,1788.48
44,41,2025-05-01,CARD,PENDING,3317.23
45,42,2025-03-04,PAYPAL,PENDING,2233.25
46,42,2025-03-07,PAYPAL,SUCCESS,2233.25
47,43,2024-09-06,CARD,REFUNDED,2290.86
48,44,2024-06-07,APPLE_PAY,SUCCESS,352.04
49,45,2025-05-20,CARD,SUCCESS,931.74
50,46,2025-02-14,ACH,SUCCESS,3161.51
51,46,2025-03-05,ACH,REFUNDED,3161.51
52,47,2023-02-22,CARD,SUCCESS,2452.48
53,48,2025-01-26,APPLE_PAY,PENDING,1144.39
54,49,2023-09-23,CARD,SUCCESS,801.17
55,50,2025-10-30,CARD,SUCCESS,547.96
56,51,2025-10-30,CARD,SUCCESS,3100.77
57,52,2023-06-24,PAYPAL,SUCCESS,223.98
58,53,2023-12-21,CARD,SUCCESS,1041.87
59,54,2025-08-30,CARD,SUCCESS,378.24
60,55,2025-06-27,CARD,REFUNDED,27.20
61,56,2024-12-06,CARD,SUCCESS,823.11
62,57,2023-11-22,CARD,SUCCESS,108.12
63,58,2023-08-03,ACH,SUCCESS,427.86
64,59,2024-02-13,CARD,SUCCESS,1083.96
65,60,2024-10-05,CARD,REFUNDED,39.36
66,61,2025-11-27,CARD,SUCCESS,257.83
67,62,2024-06-04,CARD,SUCCESS,209.13
68,63,2024-10-09,CARD,SUCCESS,537.32
69,64,2025-05-01,CARD,FAILED,788.85
70,65,2024-06-03,CARD,PENDING,354.57
71,66,2024-10-28,PAYPAL,REFUNDED,471.42
72,67,2023-07-20,ACH,SUCCESS,568.38
73,68,2023-09-07,CARD,SUCCESS,838.01
74,69,2024-02-12,CARD,SUCCESS,1781.43
75,70,2023-02-07,CARD,FAILED,85.64
76,71,2023-05-09,CARD,SUCCESS,383.71
77,72,2024-01-06,CARD,REFUNDED,182.61
