PRODUCT_ID,PRODUCT_NAME,CATEGORY,PRICE,STOCK_QTY
1,Wireless Keyboard - Model 1,Automotive,1177.69,2620
2,Eco Watch - Model 2,Books,71.79,6686
3,Eco Water Bottle - Model 3,Automotive,206.01,973
4,Compact Toy Set - Model 4,Home & Kitchen,183.88,2728
5,Premium Desk Lamp - Model 5,Sports,5.05,6482
6,Premium Backpack - Model 6,Home & Kitchen,55.95,2489
7,Premium Watch - Model 7,Home & Kitchen,161.31,1895
8,Premium Office Chair - Model 8,Books,5.26,3738
9,Eco Mouse - Model 9,Sports,31.15,3947
10,Compact Skincare Kit - Model 10,Beauty,38.48,6552
11,Durable Protein Bar - Model 11,Automotive,27.28,7320
12,Premium Office Chair - Model 12,Toys,12.65,5491
13,Classic Running Socks - Model 13,Beauty,34.16,1752
14,Ultra Vacuum - Model 14,Fashion,54.01,231
15,Classic Router - Model 15,Office,479.07,6791
16,Kids Skincare Kit - Model 16,Home & Kitchen,65.40,6855
17,Smart USB Hub - Model 17,Home & Kitchen,105.41,6799
18,Kids Air Fryer - Model 18,Toys,6.55,5887
19,Classic Backpack - Model 19,Home & Kitchen,5.74,89
20,Premium Running Socks - Model 20,Electronics,464.41,1949
21,Kids Camera - Model 21,Office,308.47,7731
22,Eco Notebook - Model 22,Sports,114.09,0
23,Advanced Desk Lamp - Model 23,Home & Kitchen,37.21,0
24,Advanced Coffee Maker - Model 24,Books,34.08,3619
25,Wireless Water Bottle - Model 25,Grocery,50.48,3875
26,Durable Notebook - Model 26,Automotive,429.91,6735
27,Advanced Monitor - Model 27,Toys,7.74,7820
28,Wireless USB Hub - Model 28,Grocery,233.45,636
29,Smart Air Fryer - Model 29,Grocery,1711.52,3558
30,Portable Toy Set - Model 30,Fashion,232.63,2350
31,Premium Vacuum - Model 31,Electronics,447.75,4627
32,Travel Desk Lamp - Model 32,Toys,421.19,7983
33,Advanced Office Chair - Model 33,Toys,190.89,21
34,Advanced Watch - Model 34,Automotive,205.97,4788
35,Travel Desk Lamp - Model 35,Books,18.61,7762
36,Compact Desk Lamp - Model 36,Home & Kitchen,61.05,0
37,Eco Blender - Model 37,Books,290.34,6777
38,Travel Mouse - Model 38,Sports,352.01,7371
39,Travel USB Hub - Model 39,Beauty,303.14,4465
40,Pro Desk Lamp - Model 40,Home & Kitchen,134.67,7905
41,Portable Water Bottle - Model 41,Home & Kitchen,492.79,4355
42,Advanced Car Wax - Model 42,Electronics,72.24,3460
43,Compact Skincare Kit - Model 43,Beauty,283.20,4240
44,Ultra Sneakers - Model 44,Office,101.25,3213
45,Pro Keyboard - Model 45,Sports,294.17,1818
46,Classic Office Chair - Model 46,Sports,65.26,2739
47,Wireless Air Fryer - Model 47,Grocery,466.48,711
48,Premium Running Socks - Model 48,Toys,187.51,1963
