SHIPMENT_ID,ORDER_ID,SHIPPED_DATE,DELIVERY_DATE,STATUS
1,1,2023-03-16,2023-03-19,DELIVERED
2,2,2025-09-29,2025-10-03,RETURNED
3,3,2025-08-24,2025-08-31,DELIVERED
4,4,2025-11-16,,SHIPPED
5,5,2024-05-31,,PACKED
6,7,2025-03-27,2025-03-31,DELIVERED
7,7,2025-03-28,2025-03-31,DELIVERED
8,7,2025-03-27,2025-04-04,DELIVERED
9,8,2024-04-20,2024-04-30,DELIVERED
10,8,2024-04-17,2024-04-25,DELIVERED
11,9,2024-08-16,2024-08-20,RETURNED
12,10,2025-03-22,2025-03-28,DELIVERED
13,11,2025-09-18,2025-09-21,RETURNED
14,12,2025-11-27,,PACKED
15,13,2024-12-02,,PACKED
16,14,2023-05-17,,IN_TRANSIT
17,15,2023-08-23,2023-08-26,DELIVERED
18,15,2023-08-21,2023-09-09,DELIVERED
19,16,2023-06-03,,IN_TRANSIT
20,17,2023-09-09,,IN_TRANSIT
21,18,,,
22,19,2023-01-19,2023-01-28,RETURNED
23,20,2025-01-10,,IN_TRANSIT
24,21,2025-11-25,,PACKED
25,22,2023-04-27,,PACKED
26,23,2025-12-18,2025-12-27,DELIVERED
27,24,2025-11-09,2025-11-11,DELIVERED
28,25,2023-08-31,2023-09-06,DELIVERED
29,25,2023-08-31,2023-09-07,DELIVERED
30,26,2023-08-03,,SHIPPED
31,27,2024-07-16,2024-07-22,DELIVERED
32,28,2024-02-15,,IN_TRANSIT
33,29,2024-07-27,,SHIPPED
34,29,2024-07-27,,IN_TRANSIT
35,30,2024-05-12,,PACKED
36,31,,,CANCELLED
37,32,2024-07-19,,IN_TRANSIT
38,33,2024-08-11,2024-08-29,DELIVERED
39,33,2024-08-09,2024-08-23,DELIVERED
40,34,2024-04-26,,SHIPPED
41,34,2024-04-28,,IN_TRANSIT
42,35,2025-08-05,2025-08-13,DELIVERED
43,36,2023-10-20,,PACKED
44,37,2024-01-21,2024-01-27,DELIVERED
45,37,2024-01-23,2024-01-24,DELIVERED
46,38,2023-03-31,2023-04-12,DELIVERED
47,38,2023-04-01,2023-04-02,DELIVERED
48,39,2025-01-14,2025-02-03,DELIVERED
49,40,2025-04-21,2025-04-24,DELIVERED
50,41,,,
51,42,2025-03-06,,PACKED
52,44,2024-06-06,2024-06-08,DELIVERED
53,45,2025-05-24,,SHIPPED
54,46,2025-02-15,2025-02-25,RETURNED
55,47,2023-02-24,,SHIPPED
56,48,2025-01-28,,PACKED
57,49,2023-09-24,2023-10-05,DELIVERED
58,50,2025-10-31,,PACKED
59,51,2025-11-03,2025-11-11,RETURNED
60,52,2023-06-27,,PACKED
61,53,2023-12-24,,PACKED
62,54,2025-08-31,2025-09-08,DELIVERED
63,56,2024-12-08,2024-12-14,DELIVERED
64,57,2023-11-22,2023-12-12,DELIVERED
65,57,2023-11-23,2023-11-27,DELIVERED
66,58,2023-08-03,2023-08-10,DELIVERED
67,59,2024-02-15,,IN_TRANSIT
68,61,2025-12-01,2025-12-12,DELIVERED
69,62,2024-06-05,,PACKED
70,63,2024-10-09,,SHIPPED
71,64,,,
72,65,,,
73,66,2024-10-29,2024-11-07,RETURNED
74,67,2023-07-19,2023-07-27,DELIVERED
75,68,2023-09-09,2023-09-25,DELIVERED
76,69,,,
77,71,2023-05-11,,IN_TRANSIT
78,72,2024-01-07,2024-01-13,RETURNED
79,73,,,
80,74,,,
81,75,2023-08-15,2023-08-22,DELIVERED
82,77,2024-03-08,,SHIPPED
83,78,2025-04-18,,SHIPPED
84,79,2023-04-14,,PACKED
85,80,,,
86,81,2023-10-24,,SHIPPED
87,82,2024-10-22,2024-10-23,DELIVERED
88,83,2023-07-29,,SHIPPED
89,84,2024-03-28,,PACKED
90,85,2025-08-21,2025-08-29,DELIVERED
91,86,,,CANCELLED
92,87,2023-07-30,2023-08-01,DELIVERED
93,88,2025-12-17,2025-12-20,DELIVERED
94,89,2024-08-19,2024-08-26,DELIVERED
95,89,2024-08-16,2024-08-21,DELIVERED
96,90,2025-01-31,2025-02-09,DELIVERED
97,91,2023-01-15,,PACKED
98,92,2024-05-24,,PACKED
99,93,2025-09-23,2025-09-30,RETURNED
100,94,2024-10-23,2024-10-30,RETURNED
101,94,2024-10-20,2024-10-27,RETURNED
102,94,2024-10-20,2024-10-26,RETURNED
103,95,2023-03-12,,SHIPPED
104,96,2023-08-25,,IN_TRANSIT
105,97,2023-04-14,,PACKED
106,98,2024-07-10,,IN_TRANSIT
107,99,2025-07-25,2025-07-31,RETURNED
108,100,2023-07-20,2023-07-26,DELIVERED
109,102,2025-03-19,2025-03-20,RETURNED
110,103,2024-11-23,2024-11-24,DELIVERED
111,104,2023-11-11,,PACKED
112,105,2024-03-01,,SHIPPED
113,106,2023-06-16,2023-06-23,RETURNED
114,107,2023-07-18,2023-07-22,DELIVERED
115,109,2023-02-03,2023-02-10,DELIVERED
116,110,2024-04-17,2024-04-18,DELIVERED
117,111,2023-06-28,2023-06-29,RETURNED
118,112,2025-01-21,2025-01-23,DELIVERED
119,113,2025-08-24,2025-08-30,DELIVERED
120,114,2024-11-18,,PACKED
121,115,2025-09-20,,PACKED
122,116,2025-07-09,2025-07-18,DELIVERED
123,118,2025-05-27,2025-05-30,DELIVERED
124,119,2025-01-07,2025-01-09,DELIVERED
125,120,2025-08-03,,SHIPPED
126,121,2023-02-09,,SHIPPED
127,122,2023-06-14,,IN_TRANSIT
128,123,2025-09-21,2025-09-22,DELIVERED
129,124,2024-05-21,2024-05-24,DELIVERED
130,125,2023-01-20,2023-01-24,RETURNED
131,125,2023-01-18,2023-01-26,RETURNED
132,125,2023-01-19,2023-01-20,RETURNED
133,126,2023-08-30,,SHIPPED
134,127,,,CANCELLED
135,128,,,
136,129,2024-02-05,,SHIPPED
137,130,2024-10-06,,SHIPPED
138,131,2023-10-21,,IN_TRANSIT
139,132,2023-06-12,2023-06-22,DELIVERED
140,133,2024-07-02,,PACKED
141,134,2025-03-06,2025-03-15,DELIVERED
142,135,2023-04-25,2023-04-30,RETURNED
143,135,2023-04-27,2023-05-03,RETURNED
144,136,2023-07-24,,IN_TRANSIT
145,137,2024-06-04,2024-06-10,DELIVERED
146,138,2023-02-14,2023-02-17,DELIVERED
147,139,2023-02-10,2023-02-17,DELIVERED
148,141,2024-06-11,2024-06-16,DELIVERED
149,141,2024-06-12,2024-06-18,DELIVERED
150,142,2025-11-07,,IN_TRANSIT
151,143,2024-03-03,2024-03-11,DELIVERED
152,144,,,CANCELLED
153,145,2024-07-28,2024-08-05,DELIVERED
154,146,2024-03-11,2024-03-20,DELIVERED
155,147,2024-04-08,2024-04-22,DELIVERED
156,147,2024-04-10,2024-04-18,DELIVERED
157,148,2025-06-21,,PACKED
158,149,2024-05-06,2024-05-08,DELIVERED
159,150,2023-06-28,2023-07-08,DELIVERED
160,151,2024-05-15,2024-05-18,DELIVERED
161,151,2024-05-13,2024-05-17,DELIVERED
162,152,2025-03-29,,IN_TRANSIT
163,152,2025-03-31,,SHIPPED
164,153,,,CANCELLED
165,154,2024-11-11,2024-11-18,DELIVERED
166,155,2024-11-01,,SHIPPED
167,156,2023-09-03,2023-09-04,DELIVERED
168,156,2023-09-02,2023-09-10,DELIVERED
169,157,2024-12-18,,IN_TRANSIT
170,158,2023-09-26,2023-09-30,DELIVERED
171,158,2023-09-24,2023-10-02,DELIVERED
172,159,,,
173,160,2025-08-16,2025-08-25,RETURNED
174,161,2024-04-09,2024-04-16,DELIVERED
175,162,2025-12-14,2025-12-18,DELIVERED
176,163,2023-10-05,,PACKED
177,164,2025-12-01,,PACKED
178,165,2024-02-19,2024-03-08,DELIVERED
179,166,2024-01-10,2024-01-12,RETURNED
180,167,2025-05-22,2025-05-23,DELIVERED
181,168,2024-06-20,2024-06-25,DELIVERED
182,169,2025-11-21,,SHIPPED
183,171,2024-06-22,,IN_TRANSIT
184,172,2025-03-01,,PACKED
185,173,2025-01-16,,IN_TRANSIT
186,173,2025-01-14,,IN_TRANSIT
187,174,2025-12-26,2025-12-28,RETURNED
188,175,2024-09-07,,IN_TRANSIT
189,176,,,
190,177,2023-08-17,2023-08-26,DELIVERED
191,178,2025-04-02,,SHIPPED
192,179,2024-03-17,,SHIPPED
193,180,2023-02-09,,IN_TRANSIT
194,181,2024-02-20,,SHIPPED
195,182,2025-04-19,2025-04-29,DELIVERED
196,183,2024-01-30,2024-02-04,DELIVERED
197,184,2025-07-18,,SHIPPED
198,185,2024-03-15,2024-03-22,DELIVERED
199,185,2024-03-16,2024-03-28,DELIVERED
200,186,,,
201,187,2025-01-09,2025-01-14,DELIVERED
202,187,2025-01-08,2025-01-14,DELIVERED
203,188,2025-11-24,,SHIPPED
204,189,2023-11-22,,IN_TRANSIT
205,191,2023-12-02,,SHIPPED
206,192,2023-05-10,2023-05-19,DELIVERED
207,193,2025-06-14,,IN_TRANSIT
208,194,2025-08-21,,IN_TRANSIT
209,194,2025-08-21,,SHIPPED
210,195,2025-11-19,2025-11-29,DELIVERED
211,196,,,CANCELLED
212,197,2023-04-04,2023-04-09,DELIVERED
213,198,2025-03-21,2025-03-28,DELIVERED
214,198,2025-03-18,2025-03-21,DELIVERED
215,198,2025-03-18,2025-03-27,DELIVERED
216,199,2024-08-25,2024-09-08,DELIVERED
217,201,2025-11-29,2025-12-04,RETURNED
218,201,2025-12-02,2025-12-09,RETURNED
219,204,,,CANCELLED
220,205,2023-12-03,2023-12-13,DELIVERED
221,206,2024-08-02,,PACKED
222,207,2024-03-17,2024-03-19,DELIVERED
223,208,2024-05-29,2024-06-07,DELIVERED
224,209,2023-05-27,2023-06-01,DELIVERED
225,210,2024-06-15,2024-06-24,DELIVERED
226,211,2023-02-13,,PACKED
227,212,,,
228,213,,,
229,214,2025-10-28,,PACKED
230,215,2025-09-26,2025-09-27,RETURNED
231,216,2023-05-13,2023-05-20,DELIVERED
232,217,2023-05-20,,IN_TRANSIT
233,218,,,
234,219,2024-12-01,2024-12-03,DELIVERED
235,220,2023-02-20,,IN_TRANSIT
236,221,2025-03-22,2025-03-30,DELIVERED
237,222,2025-03-08,2025-03-17,DELIVERED
238,224,2025-07-22,,PACKED
239,225,2024-03-20,,PACKED
240,226,2024-01-07,2024-01-14,DELIVERED
241,227,,,
242,228,,,CANCELLED
243,229,2025-10-27,,PACKED
244,230,2025-03-03,,SHIPPED
